"ID","indicator_id","indicator_name_aff","indicator_name","indicator_function","indicator_parameters","indicator_strategies","indicator_default_para"
"[301386,502700349]",77,"Bollinger bands - Middle Band","BBANDS_middleband",62,"{""parameters_id"":[2,5,20,21,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""matype"":[{""VALUES"":[{""WMA"":2,""EMA"":1,""KAMA"":6,""SMA"":0,""TEMA"":4,""T3"":8,""DEMA"":3,""TRIMA"":5,""MAMA"":7}],""DEFAULT"":0}],""source"":[{""VALUES"":[""close"",""open"",""high"",""low""],""DEFAULT"":""close""}],""nbdevdn"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":2}],""nbdevup"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":2}],""timeperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":5}]}"
"[301386,502700350]",78,"Bollinger bands - Lower Band","BBANDS_lowerband",62,"{""parameters_id"":[2,5,20,21,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""matype"":[{""VALUES"":[{""WMA"":2,""EMA"":1,""KAMA"":6,""SMA"":0,""TEMA"":4,""T3"":8,""DEMA"":3,""TRIMA"":5,""MAMA"":7}],""DEFAULT"":0}],""source"":[{""VALUES"":[""close"",""open"",""high"",""low""],""DEFAULT"":""close""}],""nbdevdn"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":2}],""nbdevup"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":2}],""timeperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":5}]}"
"[301386,502700351]",79,"Double Exponential Moving Average","DEMA",63,"{""parameters_id"":[2,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""source"":[{""VALUES"":[""close"",""open"",""high"",""low""],""DEFAULT"":""close""}],""timeperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":30}]}"
"[301386,502700352]",80,"Exponential Moving Average","EMA",64,"{""parameters_id"":[2,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""source"":[{""VALUES"":[""close"",""open"",""high"",""low""],""DEFAULT"":""close""}],""timeperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":30}]}"
"[301386,502700353]",81,"Hilbert Transform - Instantaneous Trendline","HT_TRENDLINE",65,"{""parameters_id"":[39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""source"":[{""VALUES"":[""close"",""open"",""high"",""low""],""DEFAULT"":""close""}]}"
"[301386,502700354]",82,"Kaufman Adaptive Moving Average","KAMA",66,"{""parameters_id"":[2,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""source"":[{""VALUES"":[""close"",""open"",""high"",""low""],""DEFAULT"":""close""}],""timeperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":30}]}"
"[301386,502700355]",83,"Moving average","MA",67,"{""parameters_id"":[2,5,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""matype"":[{""VALUES"":[{""WMA"":2,""EMA"":1,""KAMA"":6,""SMA"":0,""TEMA"":4,""T3"":8,""DEMA"":3,""TRIMA"":5,""MAMA"":7}],""DEFAULT"":0}],""source"":[{""VALUES"":[""close"",""open"",""high"",""low""],""DEFAULT"":""close""}],""timeperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":30}]}"
"[301386,502700356]",84,"MESA - Mother of Adaptive Moving Average","MAMA_mama",68,"{""parameters_id"":[22,23,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""source"":[{""VALUES"":[""close"",""open"",""high"",""low""],""DEFAULT"":""close""}],""fastlimit"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""slowlimit"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}]}"
"[301386,502700357]",85,"MESA - Following Adaptive Moving Average","MAMA_fama",68,"{""parameters_id"":[22,23,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""source"":[{""VALUES"":[""close"",""open"",""high"",""low""],""DEFAULT"":""close""}],""fastlimit"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""slowlimit"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}]}"
"[301386,502700358]",86,"Moving average with variable period","MAVP",69,"{""parameters_id"":[24,25,5,39]}","null","{""time"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":0}],""matype"":[{""VALUES"":[{""WMA"":2,""EMA"":1,""KAMA"":6,""SMA"":0,""TEMA"":4,""T3"":8,""DEMA"":3,""TRIMA"":5,""MAMA"":7}],""DEFAULT"":0}],""source"":[{""VALUES"":[""close"",""open"",""high"",""low""],""DEFAULT"":""close""}],""maxperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":30}],""minperiod"":[{""MAX"":10000,""MIN"":0,""DEFAULT"":2}]}"
